1.60	13.58	21.73	31714
1.70	13.59	23.11	31738
1.50	13.60	20.40	31764
1.40	13.60	19.05	31789
1.40	13.59	19.03	31814
1.60	13.60	21.76	31839
1.40	13.60	19.05	31863
1.80	13.59	24.47	31889
1.40	13.60	19.04	31913
1.50	13.60	20.41	31938
1.60	13.61	21.77	31964
1.60	13.60	21.76	31988
1.40	13.60	19.05	32014
1.50	13.61	20.41	32038
1.70	13.60	23.12	32063
1.80	13.60	24.48	32089
1.70	13.60	23.13	32113
1.70	13.60	23.13	32138
1.60	13.60	21.76	32163
1.60	13.60	21.76	32188
1.60	13.60	21.76	32214
2.00	13.60	27.19	32238
2.00	13.60	27.20	32263
1.90	13.60	25.84	32288
2.10	13.60	28.55	32313
2.20	13.60	29.92	32337
2.10	13.60	28.56	32363
1.90	13.60	25.83	32388
1.80	13.60	24.47	32413
2.10	13.60	28.56	32438
1.80	13.60	24.47	32462
1.80	13.60	24.47	32488
2.00	13.60	27.19	32513
1.80	13.60	24.47	32537
1.90	13.59	25.83	32563
1.90	13.60	25.84	32587
2.10	13.60	28.55	32613
1.60	13.59	21.75	32637
2.00	13.60	27.19	32662
1.90	13.60	25.83	32688
1.70	13.59	23.11	32712
2.00	13.58	27.17	32737
1.80	13.60	24.47	32762
1.90	13.59	25.83	32787
2.00	13.58	27.17	32813
2.20	13.59	29.90	32837
2.20	13.58	29.89	32862
2.50	13.58	33.94	32887
2.50	13.56	33.91	32912
3.00	13.58	40.73	32936
3.10	13.57	42.06	32962
3.10	13.56	42.02	32987
3.80	13.57	51.56	33012
3.90	13.56	52.87	33037
