0.13	10.34
0.12	9.79
0.12	9.87
0.12	9.66
0.12	9.45
0.12	9.56
0.12	9.96
0.15	12.01
0.13	9.81
0.13	9.95
0.12	9.41
0.12	9.20
0.12	9.34
0.12	9.47
0.12	9.22
0.12	9.35
0.12	9.42
0.12	9.22
0.12	9.35
0.12	9.48
12.45	14.94
12.42	18.63
12.39	18.59
12.37	17.32
12.35	18.53
12.37	17.32
12.40	18.59
12.45	18.67
12.45	14.94
12.44	13.68
12.38	19.81
12.36	14.84
12.35	18.53
12.35	17.29
12.40	16.13
12.43	18.64
12.45	17.43
12.44	16.17
12.41	17.38
12.39	18.58
12.35	18.52
12.36	16.07
12.38	18.56
12.44	19.90
12.45	18.68
12.45	18.67
12.44	16.17
12.38	18.58
12.36	17.30
12.35	17.29
12.38	16.10
12.41	17.37
12.43	16.16
12.45	18.67
12.43	17.40
12.41	16.14
12.36	18.53
12.34	14.81
12.36	18.54
12.38	19.81
12.44	18.65
12.44	19.91
12.44	18.67
12.40	23.56
12.37	25.98
12.35	22.23
12.36	21.01
12.38	22.28
12.40	22.33
12.44	19.91
12.44	24.87
12.42	23.60
12.40	23.56
12.34	22.21
12.34	20.98
12.35	23.47
12.41	22.34
12.43	22.38
12.44	23.64
12.41	23.58
12.39	26.02
12.36	18.55
12.34	20.99
12.36	23.48
12.38	24.75
12.40	26.04
12.44	26.12
12.43	29.83
12.41	32.27
12.34	28.39
12.34	28.37
12.33	28.36
12.38	33.44
12.40	31.01
12.42	33.55
12.42	31.06
12.40	32.24
12.37	27.22
12.35	28.41
12.33	30.83
12.35	29.64
12.38	30.94
12.43	31.07
12.43	29.83
12.42	32.29
12.36	37.08
12.33	40.68
12.31	48.00
12.33	49.31
12.35	55.57
12.36	68.01
12.37	77.95
12.35	82.76
12.32	86.27
12.29	88.51
12.25	88.19
12.26	85.80
12.28	85.94
12.34	87.62
12.36	86.52
12.36	86.52
12.32	86.22
12.28	85.99
12.26	83.40
12.25	85.74
12.27	100.60
12.31	118.17
12.27	146.05
12.09	190.95
12.00	314.47
11.62	445.04
11.51	461.47
11.66	466.24
11.53	456.51
11.57	468.50
11.64	463.43
11.47	452.00
11.63	465.12
11.59	457.88
11.45	459.22
11.66	467.41
11.52	453.89
11.49	460.83
11.64	464.44
11.50	445.20
12.03	244.13
12.22	152.77
12.20	117.09
12.28	95.79
