1.50	12.09	18.13	850197
1.40	12.06	16.89	850223
1.40	12.03	16.85	850249
1.20	12.01	14.41	850275
1.40	12.02	16.83	850301
1.40	12.05	16.87	850327
1.40	12.08	16.91	850353
1.30	12.11	15.75	850379
1.30	12.10	15.74	850405
1.50	12.08	18.13	850430
1.60	12.02	19.23	850457
1.50	12.01	18.01	850483
1.10	12.01	13.21	850509
1.40	12.03	16.84	850535
1.30	12.09	15.72	850561
1.10	12.10	13.31	850587
1.50	12.11	18.17	850613
1.70	12.06	20.51	850639
1.30	12.04	15.65	850665
1.50	12.02	18.02	850691
1.40	12.01	16.81	850717
1.10	12.05	13.25	850743
1.70	12.08	20.53	850769
1.40	12.10	16.94	850795
1.50	12.10	18.16	850821
1.30	12.08	15.71	850847
1.30	12.06	15.67	850873
1.40	12.01	16.81	850899
1.40	12.01	16.82	850925
1.20	12.03	14.44	850951
1.40	12.05	16.87	850977
1.40	12.11	16.95	851003
1.20	12.11	14.53	851028
1.60	12.10	19.35	851055
1.20	12.04	14.44	851081
1.40	12.01	16.82	851107
1.40	12.01	16.81	851133
1.50	12.02	18.02	851159
1.60	12.07	19.32	851185
1.50	12.10	18.14	851211
1.90	12.10	23.00	851237
1.60	12.08	19.32	851263
2.00	12.05	24.10	851289
1.80	12.02	21.64	851315
1.70	12.00	20.40	851341
2.00	12.02	24.04	851367
2.20	12.04	26.50	851393
2.20	12.07	26.56	851419
2.30	12.10	27.82	851445
2.20	12.08	26.59	851471
2.30	12.06	27.74	851496
2.60	11.99	31.18	851523
2.90	11.98	34.75	851549
3.40	11.99	40.76	851575
3.40	12.00	40.81	851601
3.30	12.06	39.81	851627
3.50	12.08	42.27	851653
3.90	12.07	47.08	851679
3.40	12.02	40.86	851705
3.70	11.99	44.36	851731
3.60	11.97	43.10	851757
3.50	11.97	41.90	851783
3.70	12.02	44.48	851809
3.40	12.04	40.95	851835
3.70	12.07	44.65	851861
3.60	12.06	43.42	851887
3.50	12.04	42.13	851913
3.60	12.00	43.22	851939
3.70	11.98	44.31	851965
3.90	11.98	46.71	851991
3.70	12.00	44.42	852017
3.70	12.03	44.52	852043
4.00	12.07	48.29	852069
3.90	12.06	47.05	852094
3.90	12.04	46.96	852121
4.60	12.00	55.22	852147
5.00	11.95	59.74	852173
5.00	11.94	59.70	852199
5.60	11.96	66.96	852225
6.60	12.01	79.26	852251
7.30	12.01	87.69	852277
8.70	12.00	104.37	852304
10.50	11.91	125.09	852332
12.40	11.85	146.98	852360
13.80	11.91	164.29	852388
15.30	11.78	180.20	852416
18.30	11.79	215.83	852445
21.80	11.73	255.72	852472
28.90	11.45	330.93	852501
37.60	11.41	428.93	852529
38.30	11.28	432.17	852556
38.50	11.20	431.35	852585
37.90	11.38	431.45	852613
39.30	11.18	439.21	852641
39.90	11.23	448.00	852669
39.50	11.30	446.19	852698
39.50	11.15	440.34	852725
39.90	11.30	450.87	852753
39.40	11.22	442.22	852782
39.70	11.18	443.84	852809
39.50	11.34	447.93	852838
39.60	11.16	442.09	852866
39.80	11.25	447.67	852893
39.60	11.34	448.91	852922
39.60	11.15	441.62	852950
39.80	11.32	450.38	852978
39.10	11.28	441.20	853006
39.50	11.20	442.24	853035
39.90	11.34	452.63	853062
39.30	11.21	440.63	853090
39.80	11.27	448.47	853118
39.60	11.33	448.59	853146
39.20	11.16	437.31	853175
39.90	11.32	451.83	853202
39.00	11.26	439.14	853231
39.60	11.16	441.77	853259
39.50	11.32	447.30	853286
